date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:36	101847/101847	---MCZ	200	added ('OK')	text/html	etag:W/%22ae034ce6b0ef0cdc0ae8f100858112ba%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-13.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-13.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:36	46417/46417	---MCZ	200	added ('OK')	text/html	etag:W/%226314dae562e6cc3ac4cf9731b6427d5b%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-accordion.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-accordion.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:37	61217/61217	---MCZ	200	added ('OK')	text/html	etag:W/%2244609935d264c1138955e1ddfe3f633e%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-agent.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-agent.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:37	37908/37908	---MCZ	200	added ('OK')	text/html	etag:W/%2254434c00dd9eaa6b4bfa9e647c11ba80%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-alerts.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-alerts.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:37	33876/33876	---MCZ	200	added ('OK')	text/html	etag:W/%22ac3a25f21a1f48172cf8c17e91da68a9%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-audio.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-audio.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:37	46349/46349	---MCZ	200	added ('OK')	text/html	etag:W/%22bed7918f339d9424c21a6e4254ea2b30%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-call-to-actions.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-call-to-actions.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:38	37685/37685	---MCZ	200	added ('OK')	text/html	etag:W/%2233ae899efb01c3b8eb806e5368d179e6%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-contact-1.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-contact-1.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:38	37677/37677	---MCZ	200	added ('OK')	text/html	etag:W/%2260f43a0c77c0f792d0d2958c89cc77b7%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-contact-2.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-contact-2.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:38	37862/37862	---MCZ	200	added ('OK')	text/html	etag:W/%22d90c099961e2b2291fcc3797e5e699ad%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-features.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-features.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:39	33421/33421	---MCZ	200	added ('OK')	text/html	etag:W/%22aab369f78463e645a4be801657a37108%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-footer-1.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-footer-1.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:39	33408/33408	---MCZ	200	added ('OK')	text/html	etag:W/%22a5a5ef51142e4f039b6df44b9f392c88%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-footer-2.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-footer-2.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:39	33427/33427	---MCZ	200	added ('OK')	text/html	etag:W/%2284b6abd82de5744106758a53b9cc8307%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-header-sticky-no.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-header-sticky-no.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:39	33436/33436	---MCZ	200	added ('OK')	text/html	etag:W/%2275c2dbd55becdf6175d0969cf3d0ccd0%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-header-sticky.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-header-sticky.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:39	33596/33596	---MCZ	200	added ('OK')	text/html	etag:W/%22b83a75e8fbefdf7d9505d4023e794911%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-map.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-map.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:39	38608/38608	---MCZ	200	added ('OK')	text/html	etag:W/%221ee5a630cf9f9a0971bcf89a7b0ffcfd%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-media.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-media.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:40	34046/34046	---MCZ	200	added ('OK')	text/html	etag:W/%228f0a805edd9a354e0a36ef851ceb71e8%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-pagination.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-pagination.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:40	36073/36073	---MCZ	200	added ('OK')	text/html	etag:W/%22d7fccd1e695413dea86c85a08794c766%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-progress-bar.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-progress-bar.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:40	54442/54442	---MCZ	200	added ('OK')	text/html	etag:W/%228f6958caec04bbcf7da390bef2a6ab14%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-property.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-property.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:41	39039/39039	---MCZ	200	added ('OK')	text/html	etag:W/%22bf7fe5d90f68d4fee1c58611827be52d%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-services.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-services.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:41	49304/49304	---MCZ	200	added ('OK')	text/html	etag:W/%2277f68de0fef73283e8a76ff80c08b776%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-left-1.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-left-1.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:41	42082/42082	---MCZ	200	added ('OK')	text/html	etag:W/%22a252fa657c31d3b10d6a74c3c8135986%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-left-2.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-left-2.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:42	49307/49307	---MCZ	200	added ('OK')	text/html	etag:W/%22d47a1f751ab0cc8222026bd8da5552ff%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-right-1.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-right-1.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:42	42250/42250	---MCZ	200	added ('OK')	text/html	etag:W/%22ff949618a56f3a2f5580179dd6bc5fb8%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-right-2.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-sidebar-right-2.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:42	43074/43074	---MCZ	200	added ('OK')	text/html	etag:W/%2270f4cddd2ecef86d72791e9e86ced534%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-tab.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-tab.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:42	46710/46710	---MCZ	200	added ('OK')	text/html	etag:W/%2214498828f42d74918051e362a4124b87%22	https://demo.hasthemes.com/sheltek-preview/sheltek/elements-table.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/elements-table.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
